study_id,first_author,year,journal,dataset,dataset_size,n_classes,task_type,qml_method,n_qubits,n_layers,hardware_type,hardware_platform,error_mitigation,classical_baseline,qml_accuracy,classical_accuracy,delta_accuracy,balanced_acc_qml,balanced_acc_classical,auroc_qml,auroc_classical,train_split,val_split,test_split,code_available,probast_participant,probast_predictor,probast_outcome,probast_analysis,overall_risk,notes
S11,Zhao,2024,Pattern Recog,ISIC2020,33126,2,binary,MultiVQC,20,12,Simulator,PennyLane,None,EfficientNet-B7,88.0,95.6,-7.6,86.1,93.2,0.941,0.981,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Multi-scale VQC with 20 qubits on ISIC 2020 binary"
S12,Park,2025,TBME,HAM10000,10015,7,multiclass,VQC,12,20,Real,IBM-Heron,ZNE+PEC,Swin-Large,81.3,95.8,-14.5,69.8,87.2,0.921,0.987,0.8,0.1,0.1,Yes,Moderate,High,Low,Moderate,Moderate,"2025 Heron hardware; larger circuit depth causes more decoherence degradation"
S13,Zhang,2022,QIP,PH2,200,2,binary,VQC,4,4,Simulator,Qiskit,None,ResNet-18,81.5,88.3,-6.8,79.4,86.2,0.861,0.921,0.8,0.1,0.1,No,High,Low,Low,High,High,"Small binary classification on PH2; weak classical baseline"
S14,Liu,2022,MedIA,ISIC2016,1279,2,binary,Quanvolutional,8,6,Simulator,TF-Quantum,None,EfficientNet-B0,83.2,90.1,-6.9,81.4,88.3,0.881,0.941,0.8,0.1,0.1,No,High,Low,Low,High,High,"Quanvolutional feature maps for binary melanoma classification"
S15,Wang,2022,QST,HAM10000,10015,7,multiclass,HybridVQC,10,8,Simulator,PennyLane,None,DenseNet-121,85.3,86.2,-0.9,74.8,75.1,0.921,0.941,0.7,0.15,0.15,No,High,Low,Low,High,High,"Hybrid pipeline with DenseNet features; compared against matched DenseNet baseline"
S16,Chen,2023,TNBME,HAM10000,10015,7,multiclass,VQC,12,10,Simulator,PennyLane,None,ViT-L/16,87.1,93.8,-6.7,76.3,84.6,0.941,0.981,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"VQC compared against ViT-L; quantum underperforms modern transformer"
S17,Arora,2025,arXiv-journal,HAM10000,10015,7,multiclass,QAnnealing-FS,5000,NA,Real,D-Wave-Advantage,NA,EfficientNet-B5,91.1,92.0,-0.9,80.2,81.3,0.971,0.975,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"D-Wave feature selection only; classifier is classical EfficientNet-B5"
S18,Huang,2022,QML,ISIC2016,1279,2,binary,VQC,6,6,Simulator,Cirq,None,Logistic Regression,80.4,79.1,+1.3,78.3,77.1,0.851,0.841,0.8,0.1,0.1,No,High,Low,Low,High,High,"Rare positive delta; weak LR baseline enables apparent QML advantage"
S19,Sun,2022,JBHI,MEDNODE,170,2,binary,VQC,4,4,Simulator,PennyLane,None,ResNet-50,77.6,82.4,-4.8,75.8,80.1,0.821,0.871,0.7,0.15,0.15,No,High,Low,Low,High,High,"Very small dataset (170 images); results not generalisable"
S20,Park,2022,QST,ISIC2016,1279,2,binary,QuantumSVM,8,NA,Simulator,Qiskit,None,SVM-RBF,85.7,84.3,+1.4,83.6,82.1,0.901,0.891,0.8,0.1,0.1,No,High,Low,Low,High,High,"QML advantage over SVM baseline; unfair classical comparison"
S21,Yamamoto,2023,QIP,HAM10000,10015,7,multiclass,VQC,10,8,Simulator,PennyLane,None,EfficientNet-B4,86.8,91.2,-4.4,76.1,80.9,0.931,0.971,0.8,0.1,0.1,No,High,Low,Low,High,High,"Strong EfficientNet-B4 baseline; quantum significantly underperforms"
S22,Ramos-Calderon,2024,CMPB,HAM10000,10015,7,multiclass,QAnnealing-FS+CNN,5000,NA,Real,D-Wave-Advantage,NA,EfficientNet-B5,91.8,92.0,-0.2,81.1,81.3,0.972,0.975,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"D-Wave FS + EfficientNet; near parity with classical EfficientNet-B5"
S23,Wu,2023,QML,ISIC2019,25331,8,multiclass,HybridQNN,14,10,Simulator,PennyLane,None,ConvNeXt-Base,87.3,94.2,-6.9,77.1,85.4,0.941,0.983,0.8,0.1,0.1,No,Moderate,Low,Low,High,Moderate,"QNN vs ConvNeXt-Base; consistent underperformance pattern"
S24,Liu,2024,MedIA,HAM10000,10015,7,multiclass,QAttention+CNN,14,12,Simulator,PennyLane,None,ViT-L/16,88.9,93.8,-4.9,78.4,84.6,0.951,0.981,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Quantum attention with CNN backbone"
S25,Han,2024,MedIA,ISIC2020,33126,2,binary,QuantumEntanglement,12,8,Simulator,PennyLane,None,EfficientNet-B7,89.2,95.6,-6.4,87.3,93.2,0.951,0.981,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Quantum entanglement-based multimodal fusion"
S26,Nakamura,2023,QIP,PH2,200,3,multiclass,VQC,8,6,Simulator,Qiskit,None,InceptionV3,78.3,86.9,-8.6,76.1,84.2,0.831,0.911,0.7,0.15,0.15,No,High,Low,Low,High,High,"Small dataset PH2; weak InceptionV3 baseline (no fine-tuning)"
S27,Moreira,2023,TNBME,ISIC2016,1279,2,binary,VQC+TL,10,8,Simulator,PennyLane,None,EfficientNet-B0,84.6,89.3,-4.7,82.4,87.1,0.891,0.931,0.8,0.1,0.1,No,High,Low,Low,High,High,"Transfer learning to QML; binary task"
S28,Tanaka,2022,QST,HAM10000,10015,7,multiclass,QCNN,8,6,Simulator,TF-Quantum,None,ResNet-101,83.1,85.7,-2.6,72.8,74.8,0.901,0.934,0.8,0.1,0.1,No,High,Low,Low,High,High,"ResNet-101 baseline weaker; small apparent gap"
S29,Ferreira,2024,PR,BCN20000,19424,7,multiclass,DataReupload-VQC,16,12,Simulator,PennyLane,None,Swin-Base,88.6,94.7,-6.1,78.3,85.9,0.951,0.984,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Data re-uploading on BCN20000; good modern baseline"
S30,Hassan,2023,QIP,ISIC2016,1279,2,binary,QuantumWalk,6,NA,Simulator,Qiskit,None,SVM-Linear,79.8,76.4,+3.4,77.3,74.1,0.841,0.811,0.8,0.1,0.1,No,High,Low,Low,High,High,"Positive delta from weak SVM baseline; misleading comparison"
S31,Patel,2023,JBHI,HAM10000,10015,7,multiclass,VQC,12,10,Simulator,PennyLane,None,DenseNet-201,86.4,87.1,-0.7,75.8,76.4,0.931,0.948,0.8,0.1,0.1,No,High,Low,Low,High,High,"Near parity with DenseNet-201; matched baseline quality"
S32,Kim,2024,TNNLS,HAM10000,10015,7,multiclass,MultiVQC,20,14,Simulator,PennyLane,None,ConvNeXt-Large,88.4,95.1,-6.7,77.9,86.3,0.951,0.985,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Multi-scale VQC vs ConvNeXt-Large; substantial gap"
S33,Oliveira,2022,QIP,SD-198,6584,198,multiclass,VQC,8,6,Simulator,Cirq,None,EfficientNet-B4,72.3,83.6,-11.3,68.4,79.1,0.851,0.921,0.7,0.15,0.15,No,High,Low,Low,High,High,"198-class task; quantum severely limited at fine-grained classification"
S34,Singh,2024,TBME,HAM10000,10015,7,multiclass,HybridVQC,14,10,Real,IBM-Eagle,ZNE,EfficientNet-B5,82.1,92.0,-9.9,70.4,81.3,0.931,0.975,0.8,0.1,0.1,No,High,High,Low,High,High,"Real hardware study; significant degradation from simulator expected"
S35,Liu,2023,PR,ISIC2019,25331,8,multiclass,QKernel,10,NA,Simulator,PennyLane,None,EfficientNet-B5,85.2,92.0,-6.8,75.1,81.3,0.911,0.975,0.8,0.1,0.1,No,Moderate,Low,Low,High,Moderate,"Quantum kernel on ISIC 2019; consistent underperformance"
S36,Yao,2023,QML,ISIC2016,1279,2,binary,VQC+DataReupload,12,8,Simulator,PennyLane,None,ResNet-50,87.3,84.3,+3.0,85.4,82.1,0.921,0.891,0.8,0.1,0.1,No,High,Low,Low,High,High,"Positive delta due to ResNet-50 baseline; misleading"
S37,Martinez,2024,JMAI,DermNet,23000,23,multiclass,VQC,16,10,Simulator,PennyLane,None,ViT-L/16,79.4,91.3,-11.9,68.1,82.4,0.871,0.961,0.7,0.15,0.15,No,High,Low,Low,High,High,"23-class DermNet; quantum struggles with many classes"
S38,Chen,2024,QST,HAM10000,10015,7,multiclass,QuantumFederated,12,8,Simulator,PennyLane,None,EfficientNet-B5,85.9,92.0,-6.1,75.2,81.3,0.931,0.975,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Quantum federated learning pilot study"
S39,Huang,2023,TNBME,BCN20000,19424,7,multiclass,QAttention,14,10,Simulator,PennyLane,None,Swin-Large,87.8,95.8,-8.0,77.3,87.2,0.941,0.987,0.8,0.1,0.1,No,Moderate,Low,Low,High,Moderate,"Quantum attention vs Swin-Large; gap widens with stronger baselines"
S40,Rossi,2023,QIP,ISIC2016,1279,2,binary,VQC,4,4,Simulator,Qiskit,None,Logistic Regression,79.2,77.8,+1.4,77.1,75.6,0.841,0.821,0.8,0.1,0.1,No,High,Low,Low,High,High,"Weak LR baseline; +1.4pp apparent advantage misleading"
S41,Zhao,2023,PR,HAM10000,10015,7,multiclass,QCNN+TL,12,8,Simulator,PennyLane,None,EfficientNet-B4,87.6,91.2,-3.6,77.1,80.9,0.941,0.971,0.8,0.1,0.1,No,Moderate,Low,Low,High,Moderate,"QCNN with transfer learning; EfficientNet-B4 baseline appropriate"
S42,Wang,2024,TBME,HAM10000,10015,7,multiclass,DualVQC,16,14,Real,IBM-Eagle,ZNE,Swin-Large,82.8,95.8,-13.0,71.1,87.2,0.941,0.987,0.8,0.1,0.1,No,High,High,Low,High,High,"Real hardware dual-VQC; 13pp gap confirms hardware limitation"
S43,Tanaka,2024,QST,Derm7pt,2045,7,multiclass,VQC,10,8,Simulator,PennyLane,None,EfficientNet-B5,84.1,90.7,-6.6,73.8,80.2,0.911,0.961,0.8,0.1,0.1,No,High,Low,Low,High,High,"Derm7pt dataset with both modalities; quantum underperforms"
S44,Nguyen,2024,JBHI,ISIC2020,33126,2,binary,QuantumSVM,8,NA,Simulator,PennyLane,None,EfficientNet-B4,87.4,93.1,-5.7,85.2,91.4,0.921,0.971,0.8,0.1,0.1,No,Moderate,Low,Low,High,Moderate,"Quantum SVM on ISIC 2020 binary task"
S45,Kim,2023,QIP,HAM10000,10015,7,multiclass,VQC,8,8,Simulator,Qiskit,None,EfficientNet-B5,85.8,92.0,-6.2,75.4,81.3,0.931,0.975,0.8,0.1,0.1,No,High,Low,Low,High,High,"8-qubit VQC vs EfficientNet-B5; consistent gap"
S46,Lopez,2024,TNBME,HAM10000,10015,7,multiclass,HybridQNN,16,12,Real,IonQ-Forte,ZNE,EfficientNet-B5,80.6,92.0,-11.4,69.8,81.3,0.911,0.975,0.8,0.1,0.1,No,High,High,Low,High,High,"IonQ trapped-ion hardware; real hardware underperformance confirmed on different platform"
S47,Arora,2024,QML,HAM10000,10015,7,multiclass,VQC+DiffAug,16,10,Simulator,PennyLane,None,Swin-L+DiffAug,88.7,96.3,-7.6,78.1,88.4,0.951,0.989,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Diffusion augmentation applied to quantum pipeline; still trails classical"
S48,Ferreira,2025,TBME,HAM10000,10015,7,multiclass,MultiVQC+QA,20,14,Simulator,PennyLane,None,ViT+Swin+ConvNeXt Ensemble,88.2,97.6,-9.4,77.4,91.0,0.952,0.994,0.8,0.1,0.1,Yes,Moderate,Low,Low,Moderate,Moderate,"Best-of-breed comparison; quantum vs SOTA ensemble; largest gap for modern baseline"
